content,score,at,translated_review
Bagus dan kalau boleh di cepat kan donlod nya y terimakasih,5,2025-02-26 08:01:08,good get fast donlod
Aplikasi nya jelek banget g guna percuma download apk ini untuk login aj gak bisa mending g usah di download ini apk ngabisin kuota!!,1,2025-02-26 06:08:58,application really bad useless download apk log cant able download apk spend quota
"cihh berbayar pula tu🙄 udah gabagus, JELEKKKKKK!!",1,2025-02-26 00:18:50,lihh paying island tu 🙄 udu habagus jelekkkk
Sangat baik dan bagus,5,2025-02-25 23:07:36,good good
Dasar aplikasi ga berguna masa harus berlangganan dulu kalau mau nonton film nya buat kalian yang mau donglot lebih baik jangan pernah di donglot nih aplikasi,1,2025-02-25 09:40:54,basic application useful subscribe first want watch movie want donglot better dont ever donglot
Semoga benar dan kenyataan adanya,4,2025-02-25 06:14:43,hopefully true reality
"Ingin berhenti berlangganan tp tdk bs dibatalkan, sdh bbrp x hubungi CS tp tdk ada respon. Mohon secepatnya diproses utk pembatalan akun saya. Terimakasih",4,2025-02-25 05:25:04,want stop subscribing cant canceled already x contact c response please processed soon possible cancellation account thank
sulit buat login,3,2025-02-24 15:06:25,difficult login
Susah berhenti langganan Sudah berhenti masih ditagih sejumlah Rp. 799.000,1,2025-02-24 05:17:38,difficult stop subscribed stopped still billed amount rp
👍🏻,4,2025-02-24 03:38:57,
Bagus lah,5,2025-02-23 22:36:52,good good
😟😟😟😟,1,2025-02-23 15:09:17,
"Aplikasi streaming jelek, udh bayar langganan per bulan ga guna, berapa kali buffer trs, udh kdg sub title sama vidio ga selaras, gada suaranya, unduhan gabisa ditonton. Minta restart lah, ganti ke data/wifi,cek jaringan lah, jelas jelas gw cek jaringan lancar lanacr aja malah kenceng,logika nya gini ya kalau emang gw download vidio biar apa? Ya biar bisa ditonton offline, kalau harus nyalain data lagi ngapain gw download, klo gabisa diperbaikin mending gratisin aja tuh aplikasi, buang² duit aja",1,2025-02-23 13:05:14,poor streaming application already paying subscription per month many time buffer trs already subtites video harmony sound sound download cant watched ask restart replace datawifi check network obviously check network smoothly even lanacr instead logic like download video yes watch offline turn data download cant improve better free application waste money
gada gambar nya tpi ad suara ny udh di hps trs install lgi sma aj g ad gmbr ny knp y,1,2025-02-23 10:32:07,goa gamber ny tp soa ny wood hp stral lg
Cooler...,5,2025-02-23 09:11:22,cooler
"aplikasinya gimana si dodol, masa gua masuk kaga bisa daftar? padahal itu nomer udah bener, aplikasi rusak rusak",1,2025-02-23 05:32:50,application dodol enter kaga register whereas nomer bene damaged application
bagus tapi bayar,4,2025-02-22 12:44:16,good pay
Aplikasi gaje,1,2025-02-22 07:43:28,gaje application
Aplikasi terkutuk tidak bisa masuk sama sekali,1,2025-02-22 07:37:05,cursed application enter
Gk bisa masuk,1,2025-02-22 07:16:06,cant enter
"Kenapa ga bisa masuk, koneksi error padahal sy tidak memakai proxy/VPN lainya, mohon bantuannya dan solusinya.",2,2025-02-21 14:33:31,cant enter error connection even though dont use proxyvpn please help solution
sering gangguan,5,2025-02-21 13:12:55,often disturbance
"susah log in nya,apk buruk",1,2025-02-21 12:01:44,hard log bad apk
"Ini aplikasi kenapa ya. Buat melanjutkan nonton visual nya nggak ada , tapi voice dan durasinya berjalan dengan baik. Sebelumnya baik"" saja , baru 3 hari saya instal & nonton. Apakah bug atau sengaja di batasi dari developernya.?",5,2025-02-21 09:47:09,application continue watching visuals visual voice duration go well previously good day installed watched bug deliberately limited developer
Great apk!,5,2025-02-21 07:46:00,great apk
kenapa saya tidak bisa menonton di handphone????padahal saya sudah bayar mahal,1,2025-02-21 05:22:23,cant watch cellphone even though paid dearly
"Aplikasi SCAM , ga bisa Log In tapi tetap auto debit",1,2025-02-21 00:04:41,scam application cant log still auto debit
"""Terlalu banyak yang menggunakan akun anda saat ini"" ""Harap hentikan menonton di perangkat lain untuk melanjutkan video"" Padahal device lain sudah dimatikan. Dan bahkan sudah dikeluarkan dari aplikasi. Tapi masih aja muncul seperti diatas.",2,2025-02-20 17:27:50,many people use current account please stop watching device continue video even though device turned even removed application still appears
"Aplikasi gajelas, kaptilasi, mau nonton aja dipersulit udh kek pemerintah",1,2025-02-20 15:06:17,gajlelant application captilation want watch complicated government
Gd film terbaru ga update!,1,2025-02-20 13:01:50,gd movie terbaru update
"Untuk aplikasi di perangkat tv, sounds nya aneh terutama di voice percakapan, saat percakapan santai volume terlalu kecil membuat saya harus menaikan volume dan saat adegan menegangkan volumenya menjadi terlalu besar sehingga harus diturun kan kembali masalah sepele yang bikin gak nyaman nonton.",3,2025-02-20 12:56:26,application tv device sound strange especially conversation voice relaxed conversation volume small make raise volume tense scene big reduced trivial problem make uncomfortable watching
Tolong diperbaiki bug nya gak bisa masuk ke aplikasi sering force close,1,2025-02-20 08:50:58,please fix bug cant enter application often force close
Mantap semoga makin jaya,5,2025-02-20 03:42:08,great hopefully victorious
kurang lengkap film nya,1,2025-02-19 15:57:44,incomplete film
"Apk sering banget error, blank dan gk mau beroperasi",1,2025-02-19 04:27:48,apks often error blank dont want operate
Mn videonya,1,2025-02-18 23:02:25,mn video
Login aja susah 😡🤬,1,2025-02-18 22:51:13,login difficult 😡🤬
"Udah 2 hari g bisa nyambung gr2 pake wifi rumah. Pdhl biasanya lancar. Dengan note vpn dan proxy nyambung ,pdhl g sm sekali.Udah g usah lanjut lagi. G ada penanganan. Ternyata setelah cek komen juga sama.",1,2025-02-18 13:52:27,day connect gr using house wifi pdhl usually smooth vpn note proxy connected pdhl g treatment turn checking comment
Hapus jangan di download aplikasinya ribet,1,2025-02-18 12:37:27,delete dont download application complicated
Sangat baik,5,2025-02-18 10:41:56,good
