content,score,at
Susah berhenti langganan Sudah berhenti masih ditagih sejumlah Rp. 799.000,1,2025-02-24 12:17:38
👍🏻,4,2025-02-24 10:38:57
Bagus lah,5,2025-02-24 05:36:52
😟😟😟😟,1,2025-02-23 22:09:17
"Aplikasi streaming jelek, udh bayar langganan per bulan ga guna, berapa kali buffer trs, udh kdg sub title sama vidio ga selaras, gada suaranya, unduhan gabisa ditonton. Minta restart lah, ganti ke data/wifi,cek jaringan lah, jelas jelas gw cek jaringan lancar lanacr aja malah kenceng,logika nya gini ya kalau emang gw download vidio biar apa? Ya biar bisa ditonton offline, kalau harus nyalain data lagi ngapain gw download, klo gabisa diperbaikin mending gratisin aja tuh aplikasi, buang² duit aja",1,2025-02-23 20:05:14
gada gambar nya tpi ad suara ny udh di hps trs install lgi sma aj g ad gmbr ny knp y,1,2025-02-23 17:32:07
Cooler...,5,2025-02-23 16:11:22
"aplikasinya gimana si dodol, masa gua masuk kaga bisa daftar? padahal itu nomer udah bener, aplikasi rusak rusak",1,2025-02-23 12:32:50
bagus tapi bayar,4,2025-02-22 19:44:16
Aplikasi gaje,1,2025-02-22 14:43:28
Aplikasi terkutuk tidak bisa masuk sama sekali,1,2025-02-22 14:37:05
Gk bisa masuk,1,2025-02-22 14:16:06
"Kenapa ga bisa masuk, koneksi error padahal sy tidak memakai proxy/VPN lainya, mohon bantuannya dan solusinya.",2,2025-02-21 21:33:31
sering gangguan,5,2025-02-21 20:12:55
"susah log in nya,apk buruk",1,2025-02-21 19:01:44
"Ini aplikasi kenapa ya. Buat melanjutkan nonton visual nya nggak ada , tapi voice dan durasinya berjalan dengan baik. Sebelumnya baik"" saja , baru 3 hari saya instal & nonton. Apakah bug atau sengaja di batasi dari developernya.?",5,2025-02-21 16:47:09
Great apk!,5,2025-02-21 14:46:00
kenapa saya tidak bisa menonton di handphone????padahal saya sudah bayar mahal,1,2025-02-21 12:22:23
"Aplikasi SCAM , ga bisa Log In tapi tetap auto debit",1,2025-02-21 07:04:41
